AREA,CODE
"Alexandra Meadows, Fort Worth, TX",5425
"Alexandria West, Alexandria, VA",2525
"Alford Park, Tigard, OR",15510
"Algeirs Point, New Orleans, LA",13116
"Alger Heights, Grand Rapids, MI",1432
"Algoma Park, Oshkosh, WI",14887
"Algonquin, Louisville, KY",12046
"Algonquin, Norfolk, VA",14174
"Alhambra Heights, North Miami, FL",10487
"Alhambra Triangle, Sacramento, CA",6867
"Alhambra, Phoenix, AZ",23
"Aliamanu-Salt Lake-Foster Village, Honolulu, HI",2540
"Alicia Park, Appleton, WI",10748
"Alief, Houston, TX",38
"Alimagnet, Apple Valley, MN",10922
"Alkali Flat, Sacramento, CA",6130
"Alki, Seattle, WA",1077
"Alkire Estates, Arvada, CO",14622
"All Saints, Sioux Falls, SD",10103
"Allandale, Austin, TX",12449
"Allapattah, Miami, FL",165
"Allegheny West, Philadelphia, PA",436
"Allegheny West, Pittsburgh, PA",7691
"Allen Park, North Miami Beach, FL",9415
"Allen Ranch, Gilbert, AZ",7319
"Allen, Buffalo, NY",4082
"Allendale Terrace, Saint Petersburg, FL",6798
"Allendale West, Arvada, CO",10336
"Allendale, Arvada, CO",9436
"Allendale, Baltimore, MD",1482
"Allendale, Jacksonville, FL",12238
"Allendale, Kenosha, WI",2054
"Allendale, Oakland, CA",3793
"Allendale, Shreveport, LA",15542
"Allentown, Alma, NY",9022
"Allentown, Pittsburgh, PA",4692
"Allenview, Ames, IA",11694
"Allied Arts, Menlo Park, CA",12816
"Allied Gardens, San Diego, CA",2804
"Alligator Bayou, Mobile, AL",7499
"Allison Hill, Harrisburg, PA",2236
"Allisonville, Indianapolis, IN",1894
"Allston, Boston, MA",2550
"Alma School Place, Chandler, AZ",7361
"Almaden Valley, San Jose, CA",2471
"Almeta, Garland, TX",6432
"Almond Park, Atlanta, GA",13200
"Almond-Shuey, Walnut Creek, CA",14717
"Almonte, Mill Valley, CA",13955
"Alta Heights, Napa, CA",11449
"Alta Loma, Nashville, TN",13815
"Alta Mesa, Mesa, AZ",1070
"Alta Mesa, Monterey, CA",14519
"Alta Mesa, Santa Barbara, CA",3649
"Alta Mira, Tempe, AZ",6636
"Alta Vista, Arvada, CO",14309
"Alta Vista, Bethesda, MD",8927
"Alta Vista, San Antonio, TX",15559
"Alta Vista, San Diego, CA",4895
"Alta Vista, Sarasota, FL",12186
"Alta Vista, Waco, TX",9204
"Altamont, Guilderland, NY",5656
"Altemesa East, Fort Worth, TX",7473
"Alto, Mill Valley, CA",13956
"Alton Park, Allentown, PA",11306
"Altoona, Fredericksburg, VA",9538
"Altura, Albuquerque, NM",12692
"Alum Crest Acres, Columbus, OH",7532
"Alum Rock-East Foothills, San Jose, CA",2520
"Alvarado Grdns, Albuquerque, NM",13056
"Alvarado Park, Albuquerque, NM",13032
"Alverno, Milwaukee, WI",6184
"Alvernon Heights, Tucson, AZ",7092
"Alviso, San Jose, CA",15593
"Amaryllis Park, Sarasota, FL",13105
"Amazon, Eugene, OR",5517
"Amber Creek East, North Miami, FL",2237
"Amber Hills, Nashville, TN",13802
"Amber Hills, San Bernardino, CA",701
"Amber Valley, Fargo, ND",15357
"Amberglen, Albuquerque, NM",8503
"Amberleigh Village, West Lafayette, IN",15446
"Amberton, Bakersfield, CA",6028
"Amberwood North, Chandler, AZ",3456
"Amberwood, Flagstaff, AZ",10319
"Ambrige Mann, Gary, IN",10700
"Amercrest, Columbus, OH",6237
"American Mile, Concord, MA",15196
"American River Canyon North, Folsom, CA",11573
"American River Canyon, Folsom, CA",11572
"American University Park, WA, DC",2893
"American Village, Durham, NC",9961
"Amerige Heights, Fullerton, CA",10199
"Ameriplex, Indianapolis, IN",9767
"Amhurst, Saint Louis Park, MN",14873
"Amity, New Haven, CT",3711
"Ampere, East Orange, NJ",8735
"Ampex, Redwood City, CA",11515
"Amphi, Tucson, AZ",3271
"Amphitheater and Water Park, Chula Vista, CA",5671
"Amqui Station, Nashville, TN",8667
"Amston, Hebron, CT",1517
"Amtrak, San Bernardino, CA",4443
"Anacostia, WA, DC",3856
"Anaheim Hills, Anaheim, CA",206
"Anaheim Resort, Anaheim, CA",2674
"Anchor Bay Gardens, Chesterfield, MI",14063
"Anchor Bay Harbor, Chesterfield, MI",14064
"Anchor Bay Shores, Chesterfield, MI",14065
"Andersen Springs, Chandler, AZ",5352
"Anderson Park, Fargo, ND",15402
"Anderson St. - Wrightwood Park, Durham, NC",14558
"Anderson, Stockton, CA",2891
"Andersonville, Chicago, IL",1188
"Andorra, Philadelphia, PA",9787
"Andover Glen, Aurora, CO",7320
"Andover Lakes, Miami Gardens, FL",10269
"Andover, Miami Gardens, FL",13975
"Andreas Hills, Palm Springs, CA",2306
"Andrew Manor, Marion, IN",15148
"Andrews Gardens, Oakland Park, FL",9956
"Andrews Industrial District, Pompano Beach, FL",13103
"Angel City, Merritt Island, FL",13976
"Angel Oaks, Winston-Salem, NC",8302
"Angel Park Lindell, Las Vegas, NV",669
"Angelo Heights, San Angelo, TX",10333
"Annadale, NY, NY",1041
"Annandale, Clinton Township, NJ",6352
"Annex, New Haven, CT",1108
"Ansley Park, Atlanta, GA",1682
"Ansonborough, Charleston, SC",10650
"Antelope Heights, Parker, CO",10814
"Antelope Park, Lincoln, NE",6324
"Anthem, Henderson, NV",392
"Anthony Wayne, Fort Wayne, IN",6351
"Antioch 75, Overland Park, KS",13410
"Antioch Park, Nashville, TN",6108
"Antioch, Nashville, TN",6701
"Antrim, Columbus, OH",6481
"Anza Vista, San Francisco, CA",4921
"Apache Hills, Nashville, TN",6796
"Apache Wells, Mesa, AZ",5613
"Apex, Arvada, CO",14287
"Apollo Arapaho & Camelot, Garland, TX",3874
"Apollo, Owensboro, KY",14408
"Appalachian Ridge, Madison, WI",13748
"Appian, Columbus, OH",5921
"Apple Hill, Rochester, MN",11385
"Apple Hill, Ventura, CA",9993
"Apple Valley, Nashville, TN",8550
"Appleridge, Jackson, MS",12729
"Appletree Hill, Levittown, PA",9062
"Aqualane Shore, Naples, FL",1805
"Aquebogue, Riverhead, NY",5036
"Aquila, Saint Louis Park, MN",10484
"Aquilla Reserve, Celebration, FL",11086
"Araby Commons, Palm Springs, CA",15153
"Araby Cove, Calabasas, CA",15152
"Aragon, San Mateo, CA",5391
"Arapaho, Richardson, TX",5242
"Arapahoe Farms, Hollywood, FL",13743
"Arbol Verde, Claremont, CA",14485
"Arbor at Sonoma Ranch, San Antonio, TX",15586
"Arbor Chase, West Lafayette, IN",15425
"Arbor Creek, Garland, TX",8303
"Arbor Creek, Pittsfield Township, MI",15206
"Arbor Glen, Charlotte, NC",7518
"Arbor Greene, Tampa, FL",2120
"Arbor Heights, Seattle, WA",3611
"Arbor Hill, Albany, NY",4061
"Arbor Hills, Madison, WI",6576
"Arbor Lodge, Portland, OR",3349
"Arbor Peaks, Des Moines, IA",6273
"Arbor Walk, Gilbert, AZ",8423
"Arboretum, San Antonio, TX",12840
"Arboretum, WA, DC",8463
"Arbors at Oakshade, Davis, CA",13308
"Arcade Creek, Citrus Heights, CA",10284
"Arcadia Hills, Greenville, SC",6569
"Arcadia Lakes, Columbia, SC",1754
"Arcadia Park, Fort Worth, TX",7149
"Arcadia Terrace, Chicago, IL",3720
"Arcadia Village, Chandler, AZ",7554
"Arcadia, Baltimore, MD",6162
"Arcadia, Kalamazoo, MI",12925
"Arcadia-Sunset, Hattiesburg, MS",14642
"Archer Heights, Chicago, IL",107
"Archer Heights, Tulsa, OK",7206
"Archwood Acres, Nashville, TN",7419
"Arden - Habersham, Atlanta, GA",7619
"Arden Fair, Sacramento, CA",6972
"Arden Heights, NY, NY",624
"Arden Park, Chandler, AZ",6508
"Arden Park, Edina, MN",9795
"Ardenwald, Milwaukie, OR",4136
"Ardenwald, Portland, OR",7138
"Ardenwood, Fremont, CA",2628
"Ardmore Knolls, Fort Wayne, IN",8623
"Ardmore Village, Winston-Salem, NC",7689
"Ardmore, Atlanta, GA",6113
"Ardmore, Winston-Salem, NC",2964
"Ardmore-Gould Estates-Olin Heights, Savannah, GA",2350
"Ardsley Park, Savannah, GA",11335
"Arena District, San Antonio, TX",15698
"Argay, Portland, OR",3376
"Argentine, Kansas City, KS",1906
"Argonne Forest, Atlanta, GA",13571
"Argyle Forest, Jacksonville, FL",12075
"Argyle Park, Columbus, OH",5812
"Arizona Skyline, Mesa, AZ",7061
"Arlanza, Riverside, CA",2558
"Arledge, Hattiesburg, MS",14658
"Arleta, Los Angeles, CA",2491
"Arlington Bluff, Arlington, WA",10591
"Arlington Estates, Atlanta, GA",13544
"Arlington Estates, Gilbert, AZ",13657
"Arlington Forest, Arlington, VA",4600
"Arlington Gardens, Milwaukee, WI",4568
"Arlington Heights, Arlington, VA",4848
"Arlington Heights, Dayton, OH",7174
"Arlington Heights, Fort Worth, TX",1275
"Arlington Heights, Los Angeles, CA",2704
"Arlington Heights, Milwaukee, WI",3646
"Arlington Heights, Portland, OR",5995
"Arlington Heights, Riverside, CA",3765
"Arlington Hills, Jacksonville, FL",1053
"Arlington Manor, Jacksonville, FL",12085
"Arlington Meadows, Arvada, CO",10227
"Arlington North, Bethesda, MD",11699
"Arlington Park, Columbus, OH",4974
"Arlington Park, Fort Wayne, IN",12594
"Arlington Park, Sarasota, FL",1597
"Arlington Ridge, Arlington, VA",3562
"Arlington South, Riverside, CA",3579
"Arlington Valley, Issaquah, WA",10645
"Arlington View, Arlington, VA",5892
"Arlington Woods, Indianapolis, IN",9737
"Arlington, Baltimore, MD",1614
"Arlington, Jacksonville, FL",12081
"Arlington, Mobile, AL",5726
"Arlington, Pittsburgh, PA",5374
"Arlington, Redwood City, CA",9606
"Arlington, Riverside, CA",2822
"Arlington, Youngstown, OH",15610
"Arlington-East Falls, Arlington, VA",3476
"Arlington-West End, Birmingham, AL",8800
"Arlingwood, Jacksonville, FL",11965
"Armada, Moreno Valley, CA",8947
"Armatage, Minneapolis, MN",3714
"Armonk, North Castle, NY",1671
"Armory Park, Tucson, AZ",6079
"Armour Hills, Kansas City, MO",12605
"Armstrong Park, Plano, TX",11232
"Arnada, Vancouver, WA",6426
"Arnett Benson, Lubbock, TX",11224
"Arnold Creek, Portland, OR",4706
"Arnold Heights, Lincoln, NE",5282
"Arnold Mills, Cumberland, RI",9134
"Arnold Park, Corvallis, OR",14804
"Arnour Fields, Kansas City, MO",12660
"Arrochar, NY, NY",3067
"Arrow Head Acres, North Las Vegas, NV",9565
"Arrow Wood-McCarty's Mill, Aurora, IL",11275
"Arrowhead Estates, Nashville, TN",8023
"Arrowhead Farms, San Bernardino, CA",4235
"Arrowhead Meadows, Chandler, AZ",6249
"Arrowhead Trails, Overland Park, KS",12769
"Arrowhead, Davis, CA",8607
"Arrowhead, Jacksonville, FL",12124
"Arrowhead, San Bernardino, CA",3057
"Arrowpoint, Gilbert, AZ",7451
"Arrowview, San Bernardino, CA",4301
"Arroyo Chamisa, Santa Fe, NM",2266
"Arroyo Chico, Tucson, AZ",4986
"Arroyo Viejo, Oakland, CA",3530
"Arsenal Hill, Columbia, SC",1753
"Art Center, Detroit, MI",13174
"Artemina, Gilbert, AZ",6303
"Artesia Community Guild, San Antonio, TX",15695
"Artesia Pilar, Santa Ana, CA",2673
"Artisan Park, Celebration, FL",11085
"Artisan, Bakersfield, CA",4162
"Arts District, Dallas, TX",13431
"Arts District, Oklahoma City, OK",15245
"Arundell, Ventura, CA",15500
"Arvada Center, Arvada, CO",10219
"Arvada, Arvada, CO",14237
"Arverne, NY, NY",2786
"Asbell, Fayetteville, AR",15027
"Ashbrook-Clawson Village, Charlotte, NC",4310
"Ashburn, Chicago, IL",584
"Ashburton, Baltimore, MD",4356
"Ashcreek, Portland, OR",3773
"Ashford Park, Brookhaven, GA",11118
"Ashford Village, Ypsilanti, MI",11178
"Ashford, Winston-Salem, NC",7369
"Ashland Heights Homeowners Association, Clearwater, FL",13747
"Ashland Ranch, Gilbert, AZ",5048
"Ashland, Cherry Hill, NJ",961
"Ashland, Mesa, AZ",7697
"Ashlawn Place Condos, Nashville, TN",8409
"Ashlet Forest, Winston-Salem, NC",7723
"Ashley Green, Nashville, TN",8493
"Ashley Heights, Gilbert, AZ",7060
"Ashley Park, Chandler, AZ",5832
"Ashley Park, Charlotte, NC",4901
"Ashley Place, Nashville, TN",13866
"Ashton Heights, Arlington, VA",3364
"Ashton Hollow, Tulsa, OK",7789
"Ashton, Cumberland, RI",9135
"Ashton, Gainesville, FL",14218
"Ashview Heights, Atlanta, GA",12280
"Asia District, Oklahoma City, OK",11139
"Asilomar Dunes, Pacific Grove, CA",15258
"Aspen Creek, Broomfield, CO",10955
"Aspen, Davis, CA",5603
"Aspen, Orem, UT",9352
"Aspenwoods, Renton, WA",8527
"Aspinwall Hill, Brookline, MA",12004
"Assembly Square, Somerville, MA",10795
"Aster Park, Renton, WA",8616
"Aston Ave, Santa Rosa, CA",14523
"Aston Woodbridge, Philadelphia, PA",1960
"Astor East River, Green Bay, WI",2371
"Astor, Green Bay, WI",1881
"Astoria Heights, NY, NY",1249
"Astoria, NY, NY",16
"Astrodome Area, Houston, TX",11820
"ASU-College Hills, San Angelo, TX",10329
"Asylum Hill, Hartford, CT",731
"Atchison Village, Richmond, CA",11522
"Athmar Park, Denver, CO",3021
"Atkins Park, Atlanta, GA",13397
"Atkinson Heights, Midwest City, OK",10862
"Atkinson Park, Midwest City, OK",10864
"Atlanta Industrial Park, Atlanta, GA",13511
"Atlanta University Center, Atlanta, GA",3519
"Atlantic Boulevard Estates, Jacksonville, FL",12086
"Atlantic Highlands, Jacksonville, FL",1752
"Atlantic Station, Atlanta, GA",12244
"Atlantic, Seattle, WA",5972
"Atlantic-University, Rochester, NY",5521
"Attucks-Barberton Church Street, Norfolk, VA",15281
"Atwater Park, Springfield, MA",9739
"Atwater Village, Los Angeles, CA",2825
"Atwood Acres, Winston-Salem, NC",6297
"Auburn Heights Manor, Auburn Hills, MI",9969
"Auburn Heights School, Auburn Hills, MI",9968
"Auburn Hill, Grand Rapids, MI",13618
"Auburn Hills, Durham, NC",9416
"Auburn Oaks, San Antonio, TX",8514
"Auburndale, Newton, MA",13930
"Auburndale, NY, NY",302
"Audobon Forest West, Atlanta, GA",13577
"Audobon Forest, Atlanta, GA",13292
"Audobon, Waterloo, IA",11653
"Audobon-Bon Harbor, Owensboro, KY",14719
"Audubon Park, Durham, NC",9005
"Audubon Park, Minneapolis, MN",3654
"Audubon Park, Orlando, FL",12235
"Audubon, Chattanooga, TN",9485
"Audubon, Louisville, KY",12097
"Audubon, Mobile, AL",13451
"Audubon, New Orleans, LA",11966
"Audubon-Kirkwood, Hattiesburg, MS",14657
"Audubon-Westwood, Hattiesburg, MS",14656
"Augusta Ranch, Mesa, AZ",1182
"Augusta-New Augusta, Indianapolis, IN",2134
"Auraria, Denver, CO",6760
"Aurora Highlands, Arlington, VA",2865
"Aurora Highlands, Aurora, CO",2829
"Aurora Hills Golf Course, Aurora, CO",5417
"Aurora Hills, Aurora, CO",3217
"Aurora Knolls - Hutchinson Heights, Aurora, CO",3252
"Austin Avenue, Waco, TX",10157
"Austin's Colony, Bryan, TX",11707
"Automobile Alley, Oklahoma City, OK",11143
"Autumn Chase, Nashville, TN",9721
"Autumn Glenn, Nashville, TN",7925
"Autumn Oaks, Nashville, TN",8206
"Autumn Wood, Lincoln, NE",6638
"Autumndale, Mobile, AL",6664
"Avalon Harbor, Pompano Beach, FL",3871
"Avalon Lakes-Mill Creek Pond, Parker, CO",10847
"Avalon Park, Chicago, IL",12560
"Avalon Place, Fort Wayne, IN",12878
"Avalon, Albuquerque, NM",12573
"Avalon, Bakersfield, CA",5424
"Avendale Village, Ladera Ranch, CA",9908
"Avenel, Woodbridge Township, NJ",675
"Avenida Guadalupe, San Antonio, TX",15641
"Avenues West, Milwaukee, WI",2990
"Averett Woods, Columbus, GA",14570
"Averill Woods, Lansing, MI",2360
"Avery Park, Fort Collins, CO",10455
"Aviara, Carlsbad, CA",2204
"Aviation Sub., Detroit, MI",12520
"Aviation, Dearborn, MI",2366
"Avis Farms, Pittsfield Township, MI",15200
"Avondale Melbourne Heights, Louisville, KY",12176
"Avondale Square, East Lansing, MI",10496
"Avondale, Chicago, IL",486
"Avondale, Cincinnati, OH",998
"Avondale, Desoto, TX",9670
"Avondale, Jacksonville, FL",1267
"Avondale, Pompano Beach, FL",5051
"Avondale, Sacramento, CA",3905
"Avondale, Sarasota, FL",13685
"Avondale, Savannah, GA",1886
"Avondale, Tucson, AZ",5740
"Avondale, West Lafayette, IN",14292
"Avonia, Fairview, PA",6754
"Awbrey Butte, Bend, OR",1229
"Axtell Park- Lincoln Elementary, Sioux Falls, SD",10106
"Aycock, Greensboro, NC",8887
"Azalea Acres-Azalea Lakes, Norfolk, VA",9205
"Azalea Homes, Saint Petersburg, FL",5729
"Azalea Park, Orlando, FL",8374
"Azalea, Semmes, AL",7595
"Azalea-Hollywood Park, San Diego, CA",4533
"B-Delaware Strip, San Mateo, CA",6946
"B.E.S.T, Rochester, NY",7120
"Babcock, Buffalo, NY",4076
"Babcock, Lawrence, KS",14215
"Baby Ruth Lane Estates, Nashville, TN",14392
"Back Bay, Boston, MA",406
"Back Central, Lowell, MA",10622
"Back Creek Church Road, Charlotte, NC",1247
"Back of the Yards, Chicago, IL",219
"Bacon Park Area-Sandfly, Savannah, GA",15352
"Baden, Saint Louis, MO",1291
"Bagley Downs, Vancouver, WA",3600
"Bagley, Detroit, MI",11832
"Bahama Shores, Saint Petersburg, FL",7460
"Bahama Terrace, Stuart, FL",10603
"Bahama Village, Key West, FL",9900
"Bahia, Novato, CA",9829
"Bailey, East Lansing, MI",14238
"Bain Park, Kenosha, WI",10714
"Bainbridge, Chagrin Falls, OH",1669
"Baird Creek, Green Bay, WI",11486
"Baiting Hollow, Calverton, NY",1724
"Baker Hills, Atlanta, GA",13450
"Baker Park, Elkhart, IN",11151
"Baker Park, Englewood, CO",14904
"Baker Street, Bakersfield, CA",5916
"Baker, Baton Rouge, LA",9338
"Baker, Denver, CO",3605
"Baker, Mobile, AL",4896
"Bakers Ferry, Atlanta, GA",8262
"Bakers Grove, Nashville, TN",8565
"Bakerstown, Richland Township, PA",5401
"Bakersville, Manchester, NH",9473
"Bal Harbour, Fort Lauderdale, FL",13445
"Bal Harbour, Fort Worth, TX",13977
"Balboa Heights, Tucson, AZ",6218
"Balboa Park, San Diego, CA",5194
"Balboa Terrace, San Francisco, CA",6717
"Balboa Way, Chandler, AZ",1718
"Balboa-South Indian Trail, Spokane, WA",1137
"Baldwin Park, Orlando, FL",1251
"Baldwin Park, Savannah, GA",9337
"Balfour, Hendersonville, NC",5801
"Ball Square, Somerville, MA",14995
"Ball State University, Muncie, IN",15384
"Ballantyne East, Charlotte, NC",946
"Ballantyne West, Charlotte, NC",873
"Ballard, Evansville, IN",9536
"Ballard, Seattle, WA",3088
"Ballast Point, Tampa, FL",1148
"Ballena Bay, Alameda, CA",11646
"Ballenger Hwy, Flint, MI",10194
"Ballenger Square Community, Flint, MI",10195
"Ballenger, Lubbock, TX",11215
"Ballentine Place, Norfolk, VA",1999
"Ballinger, Shoreline, WA",9506
"Ballou District, Cumberland, RI",10522
"Ballston-Virginia Square, Arlington, VA",2773
"Baltic, Sprague, CT",4099
"Baltimore Highlands, Baltimore, MD",4907
"Baltimore, Mobile, AL",4573
"Banbury Crossing, Nashville, TN",8351
"Bancroft, Minneapolis, MN",4440
"Bank Street, Fall River, MA",11541
"Bankhead, Atlanta, GA",12684
"Bankhead-Bolton, Atlanta, GA",7765
"Banksville, Pittsburgh, PA",3878
"Bannister Ares, Kansas City, MO",12719
"Baran Park, Milwaukee, WI",6709
"Barcelona Condos, Nashville, TN",7140
"Barclay Downs, Charlotte, NC",1285
"Barclay Drive, Nashville, TN",5930
"Barclay Estates, Saint Petersburg, FL",7004
"Barclay Hills, Oregon City, OR",10503
"Barclay Square, Nashville, TN",7002
"Barclay to Sandlewood, Durham, NC",10079
"Barclay, Baltimore, MD",5375
"Barclay-Kingston, Cherry Hill, NJ",1143
"Barcly Gardens, Bloomington, IN",10643
"Barcroft, Arlington, VA",3977
"Barelas, Albuquerque, NM",12961
"Barhamville, Columbia, SC",7980
"Baristo, Palm Springs, CA",10993
"Barker, Lawrence, KS",14299
"Barlow Point, North Bend, WA",14435
"Barnaby Woods, WA, DC",5186
"Barnes Cove, Nashville, TN",8513
"Barnes Crossing, Nashville, TN",8187
"Barney Circle, WA, DC",3762
"Barnstable, Barnstable, MA",1917
"Barnum West, Denver, CO",3638
"Barnum, Denver, CO",3460
"Barre Circle, Baltimore, MD",7660
"Barrett Farm, Concord, MA",15221
"Barrington, Chandler, AZ",8165
"Barrio Anita, Tucson, AZ",7480
"Barrio Blue Moon, Tucson, AZ",7346
"Barrio Centro, Tucson, AZ",6309
"Barrio Chihuahua, Del Rio, TX",14869
"Barrio Hollywood, Tucson, AZ",4712
"Barrio La Canada, Santa Fe, NM",10633
"Barrio Logan, San Diego, CA",2655
"Barrio San Antonio, Tucson, AZ",7577
"Barrio Santa Rosa, Tucson, AZ",6144
"Barrio Viejo, Tucson, AZ",6962
"Barrio, Carlsbad, CA",10255
"Barron Park, Palo Alto, CA",3987
"Barry Farm, WA, DC",5981
"Barry Square, Hartford, CT",2651
"Bartlett Country, Bartlett, TN",9803
"Bartlett Estates, Bartlett, TN",11763
"Bartlett Park, Saint Petersburg, FL",5160
"Bartlett Ridge, Bartlett, TN",9813
"Bartlett Woodlands East, Bartlett, TN",9814
"Bartlett Woods, Bartlett, TN",9810
"Bartlett, Oakland, CA",5063
"Bartolo Square North, Oxnard, CA",10551
"Bartolo Square South, Oxnard, CA",10550
"Barton Chapel, Augusta, GA",12044
"Barton Creek, Austin, TX",1683
"Barton Hills, Ann Arbor, MI",13766
"Barton Hills, Austin, TX",11985
"Barton, San Bernardino, CA",4852
"Barton-McFarland, Detroit, MI",11840
"Bartram Village, Philadelphia, PA",9776
"Baseline-Hardy, Tempe, AZ",6155
"Bashford Manor, Louisville, KY",12080
"Bass Creek, Brooklyn Park, MN",11609
"Bass-Leesburg, Fort Wayne, IN",5633
"Basset Park, Lansing, MI",11410
